system,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ConfigWrapper.dll","279552","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation","Microsoft.Uev.ConfigWrapper DLL","10.0.17763.1 (WinBuild.160101.0800)","Microsoft.Uev.ConfigWrapper DLL","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.ConfigWrapper.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","86a9770ddb4e237d1262a83ae9e22ecb","b36f03ef5c9f154cb09e3ce241e72047b6bc2c48","8077ddb6edc4ce2ee6f4129c4b671c9dd922a4b0a2bf51afedfaa0a06451af27"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.CscUnpinTool.exe","421376","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation","Microsoft.Uev.CscUnpinTool EXE","10.0.17763.1 (WinBuild.160101.0800)","Microsoft.Uev.CscUnpinTool EXE","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.CscUnpinTool.exe","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","6b9aa559f743d3a53a2ef1cf8ffb2fa7","07f7cee6e4dc009203faa14e74c8ee55da54322c","47551f6cc45dca849834471a6823f9ddced63eda6d6116917943aec8ea8eb3ad"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.EventLogMessages.dll","47104","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation","UEV Event Log Messages","10.0.17763.1 (WinBuild.160101.0800)","Microsoft.Uev.EventLogMessages.dll","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.EventLogMessages.dll.MUI","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","d902a69e187eda01f7bf836a11c2d577","964eeea86357955401894998d42862f6977c669c","a192e18af4675b81f13a4f0e74f3035230958d9f9422e5b3bbc0a5c5f901d9e3"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.LocalSyncProvider.dll","17920","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.LocalSyncProvider.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.LocalSyncProvider.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","be03da2e79436b3d427dff1433a177e3","c72a986b9004b5f08b613d857fabd3d668f86e89","6510d497e4181688b692acfcdd628a01e373493b9615f80740a3b09e57c933a8"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ManagedEventLogging.dll","287744","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.ManagedEventLogging.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.ManagedEventLogging.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","2a9aca15669bf3b5e1090d74f93d7095","de6b4d0c6ba2c82730cc2009d71325e9a95c8a5a","7a69f978750b0025f24e6a4e9aea9dc813fb3cab193bee452e1cf7796ac8d828"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.Management.dll","22016","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.Management.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.Management.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","0716fb0bef760ec254827e02b5d880bd","8fc88fae879c345e4963aaec0d2a45c5a8e2ce73","2c69b1b99abd38a49508f909a320b26e9deac15b19a1b940b511005272a78370"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.Management.WmiAccess.dll","23552","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.Management.WmiAccess.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.Management.WmiAccess.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","4597738aa0c72904d130bcb4fe920c8b","9b98a9d3e98efff68568c5047b7c6315f86628bb","d377561fc45f3c3be1e257f0150bf01032f6bb6a03a9eacd79ee8f41cf54c615"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ModernAppAgent.dll","2141184","0x20","ARCHIVE","2019-03-12T06:33:05Z","2019-03-12T06:33:05Z","2019-03-12T06:33:05Z","Microsoft Corporation","ModernAppAgent DLL","10.0.17763.348 (WinBuild.160101.0800)","ModernAppAgent DLL","&#169; Microsoft Corporation. All rights reserved.","ModernAppAgent.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.348","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","3d7df039092006eda8547154bc48ad2b","9306051d39aa16cbca08a423d205f20e8d0e9515","b6c7410d01cdfc70e2b852a807a46a93b4cf8a7e512afe4838e5c2037119f525"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ModernAppCore.dll","58880","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.ModernAppCore.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.ModernAppCore.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","47125fea4eb2fd3181a49767ccfdd975","440e83fc55248d8f95c302851087f3ea335493d5","a74881535eca080fcce9fc2692317334c4a64911b9ebdaa1a59496fc4c6586d5"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ModernAppData.WinRT.dll","20992","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.ModernAppData.WinRT.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.ModernAppData.WinRT.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","cc6a734af16f5571a62a20a7f9e581fd","378fdf889a8c7f2dc5efc0117077fcdf4bcab10c","e07992346afafa842e5a15ba6692f4db48b92a524bca8cfa50265819045d1828"
