system,key,reglastwritetime,type,name,val
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Linkage","2020-11-06T12:30:53Z","multi_sz","Export",".NET CLR Data"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Linkage","2020-11-06T12:30:53Z","multi_sz","Export",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","sz","Close","ClosePerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","sz","Collect","CollectPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","binary","Counter Names","530071006c0043006c00690065006e0074003a002000430075007200720065006e00740020002300200070006f006f006c0065006400200061006e00640020006e006f006e0070006f006f006c0065006400200063006f006e006e0065006300740069006f006e0073000000530071006c0043006c00690065006e0074003a002000430075007200720065006e00740020002300200070006f006f006c0065006400200063006f006e006e0065006300740069006f006e0073000000530071006c0043006c00690065006e0074003a002000430075007200720065006e00740020002300200063006f006e006e0065006300740069006f006e00200070006f006f006c0073000000530071006c0043006c00690065006e0074003a0020005000650061006b0020002300200070006f006f006c0065006400200063006f006e006e0065006300740069006f006e0073000000530071006c0043006c00690065006e0074003a00200054006f00740061006c002000230020006600610069006c0065006400200063006f006e006e0065006300740073000000530071006c0043006c00690065006e0074003a00200054006f00740061006c002000230020006600610069006c0065006400200063006f006d006d0061006e006400730000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","binary","Counter Types","3600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","expand_sz","Library","%systemroot%\system32\netfxperf.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","sz","Open","OpenPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","dword","InstallType","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","sz","PerfIniFile","_DataPerfCounters_d.ini"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","dword","First Counter","0x22ce"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","dword","Last Counter","0x22da"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","dword","First Help","0x22cf"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","dword","Last Help","0x22db"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Data\Performance","2018-09-15T07:36:02Z","sz","Object List","8910"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Linkage","2020-11-06T12:30:53Z","multi_sz","Export",".NET CLR Networking"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Linkage","2020-11-06T12:30:53Z","multi_sz","Export",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","sz","Close","ClosePerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","sz","Collect","CollectPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","binary","Counter Names","43006f006e006e0065006300740069006f006e0073002000450073007400610062006c00690073006800650064000000420079007400650073002000520065006300650069007600650064000000420079007400650073002000530065006e007400000044006100740061006700720061006d007300200052006500630065006900760065006400000044006100740061006700720061006d0073002000530065006e00740000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","binary","Counter Types","3600350035003300360000003600350037003900320000003600350037003900320000003600350035003300360000003600350035003300360000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","expand_sz","Library","%systemroot%\system32\netfxperf.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","sz","Open","OpenPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","dword","InstallType","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","sz","PerfIniFile","_Networkingperfcounters_v2_d.ini"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","dword","First Counter","0x21b6"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","dword","Last Counter","0x21c0"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","dword","First Help","0x21b7"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","dword","Last Help","0x21c1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking\Performance","2018-09-15T07:36:00Z","sz","Object List","8630"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Linkage","2018-09-15T07:34:18Z","multi_sz","Export",".NET CLR Networking 4.0.0.0"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Linkage","2018-09-15T07:34:18Z","multi_sz","Export",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","dword","CategoryOptions","0x3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","sz","Close","ClosePerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","sz","Collect","CollectPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","Connections Established"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","Bytes Received"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","Bytes Sent"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","Datagrams Received"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","Datagrams Sent"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Created/Sec"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Average Lifetime"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Average Lifetime Base"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Queued/Sec"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Average Queue Time"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Average Queue Time Base"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Aborted/Sec"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names","HttpWebRequests Failed/Sec"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","multi_sz","Counter Names",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","binary","Counter Types","36003500350033003600000036003500370039003200000036003500370039003200000036003500350033003600000036003500350033003600000034003100390035003300320038000000310030003700330038003700340031003700360000003100300037003300390033003900340035003800000034003100390035003300320038000000310030003700330038003700340031003700360000003100300037003300390033003900340035003800000034003100390035003300320038000000340031003900350033003200380000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","dword","FileMappingSize","0x20000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","dword","IsMultiInstance","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","expand_sz","Library","%systemroot%\system32\netfxperf.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET CLR Networking 4.0.0.0\Performance","2018-09-15T07:35:59Z","sz","Open","OpenPerformanceData"
